analysis_id,0h3y7281dkx987e
mouse_strain,C57BL
pvalue,0.6814606
gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_life_stage,Middle aged adult
parameter_id,IMPC_IMM_067_001
parameter_name,Follicular B Cells (CD21/35+)
