parameter_name,Lumbar processes
gene_symbol,Sdcbp2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2385156
parameter_id,IMPC_XRY_065_001
analysis_id,zvjlc0024z26810
pvalue,0.0551558
