parameter_id,JAXLA_CSD_007_001
analysis_id,0a6511ywea81310
gene_accession_id,MGI:1309468
pvalue,0.5539069
parameter_name,Coat - color - abdomen
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Casq1
