parameter_name,Mean-corpuscular-haemoglobin
pvalue,0.6629502
gene_accession_id,MGI:103302
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_006
mouse_strain,C57BL
analysis_id,zjf90y89vr26l9r
gene_symbol,Bmp7
