gene_symbol,Tiprl
analysis_id,9315z1nrl488q3k
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1915087
parameter_id,IMPC_HEM_019_001
pvalue,0.06669758
parameter_name,Mean platelet volume
