parameter_name,Neutrophils
analysis_id,11tk281d8ul3135
mouse_life_stage,Early adult
pvalue,0.4993223
mouse_strain,C57BL
gene_symbol,Eprs1
parameter_id,IMPC_IMM_050_001
gene_accession_id,MGI:97838
