analysis_id,2d7q50p849l2o52
mouse_strain,B6J
parameter_id,IMPC_GPP_004_001
parameter_name,Placenta Size
gene_symbol,Nr0b2
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
pvalue,0.2608396
