analysis_id,9g7k93t95e0a6m1
gene_symbol,Hpca
pvalue,0.669986
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_name,Tibia
parameter_id,IMPC_XRY_025_001
gene_accession_id,MGI:1336200
