analysis_id,0s9aw59885id65u
parameter_id,ESLIM_011_001_006
gene_symbol,Rab17
mouse_strain,C57BL
gene_accession_id,MGI:104640
mouse_life_stage,Early adult
pvalue,0.315767
parameter_name,110dB startle magnitude
