gene_symbol,Cpa3
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.6499482
parameter_id,MGP_IMM_071_001
mouse_strain,C57BL
gene_accession_id,MGI:88479
analysis_id,3dx036nv47x331x
