parameter_name,Others
mouse_life_stage,Early adult
gene_symbol,SGIP1
analysis_id,13ray3e94ud72d6
mouse_strain,C57BL
gene_accession_id,MGI:1920344
pvalue,0.1914708
parameter_id,IMPC_IMM_006_001
