parameter_name,MZB (CD21/35 high)
mouse_life_stage,Early adult
analysis_id,w1474ne3z40xt87
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
pvalue,0.2824808
mouse_strain,C57BL
parameter_id,IMPC_IMM_071_001
