parameter_name,Hemorrhage
analysis_id,c6n3bq036gfi77k
gene_symbol,Gja10
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GEO_009_002
gene_accession_id,MGI:1339969
pvalue,0.7792818
