analysis_id,5aqq4rao632w2q7
parameter_id,IMPC_CSD_047_001
parameter_name,Hindlimb digit - size
mouse_life_stage,Early adult
gene_symbol,Ints7
gene_accession_id,MGI:1924315
mouse_strain,C57BL
pvalue,0.1837771
