parameter_id,IMPC_OFD_018_001
gene_accession_id,MGI:1914256
gene_symbol,Cisd2
mouse_strain,C57BL
parameter_name,Latency to center entry
mouse_life_stage,Early adult
analysis_id,4iv088347o6me41
pvalue,0.8907962
