analysis_id,864t78873x3j049
gene_accession_id,MGI:2444113
pvalue,0.4395396
parameter_name,Tibia length
mouse_strain,C55BL
parameter_id,TCPLA_XRY_033_001
mouse_life_stage,Early adult
gene_symbol,Nemp2
