analysis_id,hogji94zck01972
pvalue,0.8628442
mouse_strain,C57BL
parameter_id,IMPC_CBC_053_001
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
parameter_name,Thyroxine
gene_symbol,Bpifa3
