gene_symbol,Rigi
pvalue,0.7836756
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
gene_accession_id,MGI:2442858
parameter_id,MGP_IMM_017_001
analysis_id,s9v2cq3rder3a89
mouse_strain,C57BL
mouse_life_stage,Early adult
