parameter_name,Eye
analysis_id,595496531v98ejw
pvalue,0.07978046
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_001
gene_symbol,Tnni1
mouse_strain,C57BL
gene_accession_id,MGI:105073
