analysis_id,nrnrmjv3i1uukl8
gene_accession_id,MGI:97054
mouse_strain,C57BL
pvalue,0.1381961
parameter_id,MGP_IMM_089_001
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_symbol,Mov10
mouse_life_stage,Early adult
