parameter_id,MGP_BMI_006_001
analysis_id,rnf574502155o7c
gene_accession_id,MGI:88479
mouse_strain,C57BL
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
mouse_life_stage,Early adult
gene_symbol,Cpa3
pvalue,0.1408858
