analysis_id,f5054eq029v5lgn
mouse_strain,C57BL
gene_accession_id,MGI:95457
parameter_id,IMPC_ABR_002_001
gene_symbol,Mecom
mouse_life_stage,E15.5
parameter_name,Click-evoked ABR threshold
pvalue,0.6368389
