parameter_name,Response amplitude - S
mouse_life_stage,Early adult
analysis_id,kt7d629ejq8275w
parameter_id,IMPC_ACS_006_001
mouse_strain,C57BL
gene_symbol,Gpbp1l1
gene_accession_id,MGI:1924360
pvalue,0.1553817
