analysis_id,234zdy65e4734qr
mouse_life_stage,Early adult
pvalue,0.3975339
gene_symbol,Mov10
gene_accession_id,MGI:97054
parameter_id,IMPC_GEL_060_001
parameter_name,Neural tube morphology
mouse_strain,C57BL
