parameter_name,Total T cell percentage
mouse_life_stage,Early adult
analysis_id,941209ky4q1d90k
parameter_id,MGP_PBI_001_001
pvalue,0.8872516
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
mouse_strain,C57BL
