parameter_name,Thyroxine
parameter_id,IMPC_CBC_053_001
gene_symbol,Slc45a3
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,i70dbd56367c69j
gene_accession_id,MGI:1922082
pvalue,0.7607871
