parameter_id,IMPC_GEP_084_001
analysis_id,wrf58l8826udsu8
parameter_name,Limb morphology
mouse_life_stage,E15.5
pvalue,0.3172965
gene_accession_id,MGI:88174
mouse_strain,C57BL
gene_symbol,Bmi1
