parameter_name,Tail bud morphology
mouse_strain,C57BL
gene_symbol,Hspa5
parameter_id,IMPC_GEL_033_001
gene_accession_id,MGI:95835
pvalue,0.8005569
analysis_id,j7wxxpva9j0vy17
mouse_life_stage,E12.5
