parameter_name,B cell percentage
gene_accession_id,MGI:1913405
parameter_id,MGP_PBI_014_001
gene_symbol,Ufc1
analysis_id,q927q14579br344
pvalue,0.6994686
mouse_strain,C57BL
mouse_life_stage,Early adult
