analysis_id,r744sw6935h11zv
mouse_life_stage,Early adult
parameter_name,Fractional Shortening
parameter_id,IMPC_ECH_005_001
pvalue,0.5862811
gene_symbol,Pld1
gene_accession_id,MGI:109585
mouse_strain,C57BL
