analysis_id,1c89j29rc3i44x6
gene_symbol,Secisbp2l
parameter_id,IMPC_ABR_012_001
mouse_life_stage,Early adult
pvalue,9.234459e-07
parameter_name,30kHz-evoked ABR Threshold
gene_accession_id,MGI:1917604
mouse_strain,C57BL
