parameter_name,Alkaline phosphatase
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,HRWLLA_CBC_014_001
gene_symbol,Ahctf1
analysis_id,k93dk472g37ni26
pvalue,0.7345416
