analysis_id,r044g1br17zfa54
parameter_name,PP1 startle magnitude
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
pvalue,0.7024691
parameter_id,ESLIM_011_001_002
mouse_strain,C57BL
mouse_life_stage,Early adult
