parameter_name,Percent time in light
gene_accession_id,MGI:1914050
parameter_id,IMPC_LDT_008_001
pvalue,0.219255
mouse_strain,C54BL
analysis_id,50e3ht2p281af88
mouse_life_stage,Early adult
gene_symbol,Trp53rkb
