gene_symbol,Kifap3
pvalue,0.9946982
parameter_id,MGP_IMM_073_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,c4q9svip78bx3n0
gene_accession_id,MGI:107566
