parameter_name,Whole arena average speed
mouse_life_stage,Early adult
gene_symbol,Trp53i11
pvalue,0.5009158
gene_accession_id,MGI:2670995
parameter_id,IMPC_OFD_009_001
analysis_id,26br97heto5qom0
mouse_strain,C57BL
