analysis_id,0sas5m28561009e
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_CSD_064_001
parameter_name,Head morphology
gene_symbol,Kif24
gene_accession_id,MGI:1918345
pvalue,0.9018882
