parameter_name,Snout size
gene_symbol,Slc39a10
analysis_id,61r3l24g435ve07
mouse_life_stage,Early adult
gene_accession_id,MGI:1914515
parameter_id,MGP_CSD_067_001
pvalue,0.06532929
mouse_strain,C57BL
