parameter_name,Thoracic processes
mouse_strain,C57BL
pvalue,0.5502802
gene_symbol,Zyg11b
analysis_id,y3k1yaw3967fu25
mouse_life_stage,E18.5
gene_accession_id,MGI:2685277
parameter_id,IMPC_XRY_064_001
