parameter_name,Spleen weight
mouse_strain,C57BL
parameter_id,UCD_OWT_003_001
gene_accession_id,MGI:1917604
analysis_id,30m1g89fk2x9xoe
pvalue,0.06960503
mouse_life_stage,Late adult
gene_symbol,Secisbp2l
