parameter_name,Average duration
gene_accession_id,MGI:2442483
pvalue,0.2024652
analysis_id,yn6x9992h8m0j34
mouse_life_stage,Early adult
gene_symbol,Usp37
parameter_id,JAX_ROT_002_001
mouse_strain,C57BL
