analysis_id,y7771j1r2k3yps4
pvalue,0.09123756
parameter_id,IMPC_EYE_026_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Retinal Blood Vessels Pattern
gene_symbol,Abo
gene_accession_id,MGI:2135738
