parameter_name,Facial Morphology
gene_accession_id,MGI:1336200
analysis_id,l58em0g0n8un597
parameter_id,IMPC_GEP_017_001
gene_symbol,Hpca
pvalue,0.7007393
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
