gene_symbol,Car13
parameter_name,Lower teeth appearance
pvalue,0.1955524
analysis_id,98877a86g14naer
mouse_strain,C57BL
gene_accession_id,MGI:1931322
parameter_id,IMPC_CSD_070_001
mouse_life_stage,Early adult
