analysis_id,4u6837044095h55
gene_symbol,Usp37
parameter_id,IMPC_ECG_008_001
mouse_strain,C57BL
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
pvalue,0.8366798
parameter_name,ST
