analysis_id,li98v76q1c0duj8
mouse_strain,C57BL
pvalue,0.1456786
gene_accession_id,MGI:2674093
parameter_id,MGP_PBI_038_001
gene_symbol,Psd4
parameter_name,Ly6Clow monocyte number
mouse_life_stage,Early adult
