gene_symbol,Dnaaf9
parameter_name,Follicular B cells - % of CD45+
analysis_id,fzsz676csxhvu5a
mouse_strain,C57BL
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
parameter_id,MGP_IMM_112_001
pvalue,0.4819239
