analysis_id,h223ztc9g678z4q
pvalue,0.9893151
mouse_strain,C57BL
parameter_name,NKT cells (panel A)
gene_symbol,Golm2
parameter_id,IMPC_IMM_004_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
