analysis_id,8s743b8epuw07h5
parameter_name,Caudal processes
gene_accession_id,MGI:1274787
pvalue,0.5786012
gene_symbol,Trdmt1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_067_001
