parameter_name,Total food intake
mouse_strain,C57BL
analysis_id,5814yi5z9y3x6w5
parameter_id,IMPC_CAL_008_001
gene_symbol,Fgb
pvalue,0.8369483
mouse_life_stage,Early adult
gene_accession_id,MGI:99501
