analysis_id,iq43z3x0t9v7n1m
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
pvalue,0.362972
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_036_001
parameter_name,KLRG1+ NK cells - % of NK cells
