parameter_id,HRWLLA_OFD_017_001
parameter_name,Center average speed
mouse_life_stage,Early adult
analysis_id,2f640570ue3lfp3
pvalue,0.4655556
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
mouse_strain,129SV
