gene_symbol,Mov10
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_life_stage,Early adult
pvalue,0.4345025
analysis_id,397uzbg9o9zie79
gene_accession_id,MGI:97054
parameter_id,MGP_IMM_022_001
