analysis_id,o4v2sdr5c6s0js6
gene_accession_id,MGI:3650254
parameter_name,Mean left eye lens density
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_056_001
pvalue,0.8664645
gene_symbol,Zfp683
