gene_symbol,Kcng1
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
parameter_name,Large Unstained Cell (LUC) count
pvalue,0.1993101
mouse_strain,C57BL
parameter_id,IMPC_HEM_039_001
analysis_id,05x4za7oo1eroqy
