parameter_name,Embryo turning
mouse_strain,C57BL
analysis_id,at426l747ssj073
gene_symbol,Dnajc8
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_011_001
gene_accession_id,MGI:1915848
pvalue,0.7505287
