gene_symbol,NR0B2
pvalue,0.8113854
parameter_name,Fat mass
mouse_life_stage,Early adult
mouse_strain,B6J
parameter_id,IMPC_DXA_002_001
gene_accession_id,MGI:1346344
analysis_id,h97mmv09110290v
