gene_symbol,Steap3
parameter_id,MGP_IMM_026_001
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
pvalue,0.5686352
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
analysis_id,y651obex6155120
