analysis_id,n55zu3w3159n8v5
gene_accession_id,MGI:109356
pvalue,0.8990402
mouse_strain,C59BL
gene_symbol,Snap23
parameter_name,Cornea
parameter_id,IMPC_EYE_007_001
mouse_life_stage,Late adult
