analysis_id,06e5ko43v06509b
mouse_strain,C57BL
parameter_id,IMPC_CBC_053_001
pvalue,0.3539396
parameter_name,Thyroxine
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
mouse_life_stage,E18.5
