analysis_id,0z0e1z3ktqh3s27
gene_accession_id,MGI:1913838
parameter_id,MGP_IMM_026_001
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
gene_symbol,Cmpk1
mouse_strain,C57BL
pvalue,0.6611042
mouse_life_stage,Early adult
