gene_symbol,Ints7
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
parameter_name,Periphery average speed
pvalue,0.3644763
analysis_id,yet1ud92pwxxfxt
parameter_id,IMPC_OFD_013_001
mouse_strain,C57BL
