parameter_id,IMPC_DXA_004_001
mouse_life_stage,Early adult
mouse_strain,B6J
pvalue,0.7702587
analysis_id,65jw1g3b7y481m4
parameter_name,Bone Mineral Density (excluding skull)
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
