parameter_name,ST
gene_symbol,Rufy4
parameter_id,IMPC_ECG_008_001
pvalue,0.6525384
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,491s3t0t917n36f
gene_accession_id,MGI:3588214
